sgg,kapt,name,dup_kapt,dup_name,dist_m
"26350","A10020224","해운대현대하이페리온","A61275302","해운대현대",0.0
"26410","A10020804","삼정그린코아스카이","A10020805","삼정그린코아마운틴",29.9
"26410","A10020805","삼정그린코아마운틴","A10020804","삼정그린코아스카이",29.9
"26320","A10022905","포레나부산덕천2차","A10023684","포레나부산덕천아파트",0.0
"26320","A10023684","포레나부산덕천아파트","A10022905","포레나부산덕천2차",0.0
"26260","A10024628","온천천경동리인타워2차아파트","A10025464","온천천경동리인타워",0.0
"26260","A10025321","온천삼정그린코아더베스트","A60778006","온천삼정그린코아아파트",0.0
"26440","A10025343","명지삼정그린코아더베스트","A10028117","명지삼정그린코아",0.0
"26230","A10025434","서면2차 봄여름가을겨울아파트","A10027668","서면봄여름가을겨울 아파트",0.0
"26260","A10025464","온천천경동리인타워","A10024628","온천천경동리인타워2차아파트",0.0
"26230","A10027668","서면봄여름가을겨울 아파트","A10025434","서면2차 봄여름가을겨울아파트",0.0
"26440","A10028117","명지삼정그린코아","A10025343","명지삼정그린코아더베스트",0.0
"26260","A60778006","온천삼정그린코아아파트","A10025321","온천삼정그린코아더베스트",0.0
"26410","A60975204","구서선경아파트","A60976105","구서선경3차아파트",0.0
"26410","A60976105","구서선경3차아파트","A60975204","구서선경아파트",0.0
"26470","A61108003","연산경동메르빌","A61181103","연산경동아파트",0.0
"26470","A61176202","연산현대아파트","A61181202","연산현대아파트",0.0
"26470","A61181103","연산경동아파트","A61108003","연산경동메르빌",0.0
"26470","A61181202","연산현대아파트","A61176202","연산현대아파트",0.0
"26350","A61206114","센텀롯데캐슬2차","A61270515","센텀롯데캐슬",0.0
"26350","A61270515","센텀롯데캐슬","A61206114","센텀롯데캐슬2차",0.0
"26350","A61275302","해운대현대","A10020224","해운대현대하이페리온",0.0
